model,n_forecasts,rmse,mae,r2
AR(1),261,0.5619093534550245,0.44689690446006786,0.8710924705200794
Regression,261,0.5695532455051578,0.4606140709326111,0.8675614478132614
Combined,261,0.5625173321594154,0.4515510753378637,0.870813367025593
