term,estimate,std_error,t_value,p_value,direction,significant_5pct
(Intercept),0.09239165946521637,0.1204512045238498,0.7670463722670574,0.44319651118528436,baseline,FALSE
dl_usdzar,-0.14961233808742638,0.06620627176397872,-2.25979101528002,0.024003070163860357,USDZAR down (rand strengthens),TRUE
dl_gold,0.11109648443145664,0.046055825117574466,2.4122135288607236,0.01599703114577225,USDZAR up (rand weakens),TRUE
dl_vix,0.013145842429277407,0.009149134253884696,1.4368400402142663,0.15100975078212822,USDZAR up (rand weakens),FALSE
d_us10,0.4256513525250461,1.0615513809010617,0.4009710318154798,0.6885089009836036,USDZAR up (rand weakens),FALSE
d_gov,0.471420541019809,0.7713144645701177,0.6111911064478083,0.5411824469146702,USDZAR up (rand weakens),FALSE
