variable,n,mean,sd,min,median,max
gold,261,39257.094742911875,12852.893992861304,25094.7935,36096.5425,74519.4483
gov_bond,261,10.706015325670498,0.892645713032326,8.71,10.6,12.45
us_10y,261,3.3662835249042145,1.1549004203146314,0.93,3.84,4.93
usdzar,261,17.164803065134098,1.587241037821419,13.5667,17.6735,19.7446
vix,261,19.149961685823754,5.308604372444962,11.93,17.96,45.31
