origin_date,actual,ar1_forecast,reg_forecast,combo_forecast,ar1_error,reg_error,combo_error
2021-01-01,15.1903,14.59887362468799,14.679300156599076,14.639086890643533,0.591426375312011,0.5109998434009242,0.5512131093564676
2021-01-08,14.9266,15.340007719973606,15.344962912940586,15.342485316457097,-0.4134077199736055,-0.4183629129405855,-0.41588531645709637
2021-01-15,14.661,15.154935398017308,15.200937174940613,15.17793628647896,-0.49393539801730846,-0.5399371749406132,-0.5169362864789608
2021-01-22,14.5616,15.051084789370883,15.061909140783776,15.05649696507733,-0.48948478937088247,-0.5003091407837754,-0.49489696507732894
2021-01-29,14.8367,15.164302250949396,15.269673763539144,15.21698800724427,-0.3276022509493952,-0.4329737635391435,-0.38028800724426937
2021-02-05,15.3047,14.900669662955785,14.766205875129376,14.83343776904258,0.4040303370442153,0.5384941248706241,0.4712622309574197
2021-02-12,14.9757,14.635200818728794,14.66756112244414,14.651380970586466,0.3404991812712055,0.30813887755586045,0.32431902941353385
2021-02-19,14.654,14.5358982021246,14.60352871746048,14.569713459792538,0.11810179787540065,0.0504712825395206,0.08428654020746151
2021-02-26,15.0113,14.810853086148363,14.88633951622007,14.848596301184216,0.20044691385163738,0.12496048377992963,0.1627036988157844
2021-03-05,14.7241,15.27868965864121,15.224483581278196,15.251586619959703,-0.5545896586412109,-0.5003835812781965,-0.5274866199597028
2021-03-12,14.5894,14.949746785221553,14.974148970119238,14.961947877670395,-0.3603467852215534,-0.38474897011923836,-0.3725478776703959
2021-03-19,14.2549,14.628198285279224,14.75852537655308,14.693361830916153,-0.3732982852792244,-0.5036253765530816,-0.43846183091615387
2021-03-26,14.2938,14.985316081924967,14.985346972070136,14.985331526997552,-0.6915160819249682,-0.691546972070137,-0.6915315269975526
2021-04-02,14.3799,14.698250985396363,14.701800413255555,14.700025699325959,-0.3183509853963642,-0.3219004132555554,-0.3201256993259598
2021-04-09,14.2393,14.563669857630206,14.600968778109092,14.582319317869649,-0.32436985763020587,-0.3616687781090917,-0.3430193178696488
2021-04-16,14.1485,14.2294584404567,14.28232297943055,14.255890709943625,-0.08095844045669942,-0.13382297943054944,-0.10739070994362443
2021-04-23,13.985900000000001,14.268355404955994,14.321180372233469,14.29476788859473,-0.28245540495599286,-0.33528037223346807,-0.3088678885947296
2021-04-30,13.8194,14.354406234306945,14.416072523849861,14.385239379078403,-0.5350062343069446,-0.5966725238498611,-0.5658393790784029
2021-05-07,13.6629,14.213977895096676,14.245349254730163,14.22966357491342,-0.5510778950966753,-0.5824492547301627,-0.5667635749134199
2021-05-14,13.5667,14.123314353291391,14.208129268733815,14.165721811012602,-0.5566143532913905,-0.6414292687338143,-0.5990218110126015
2021-05-21,14.0811,13.960946048126969,14.041449419678438,14.001197733902703,0.12015395187303035,0.039650580321561435,0.0799022660972959
2021-05-28,14.1637,13.794710542547186,13.812682672168178,13.803696607357683,0.3689894574528143,0.3510173278318227,0.3600033926423176
2021-06-04,14.4582,13.638488296239224,13.610554972186849,13.624521634213036,0.8197117037607757,0.8476450278131509,0.8336783657869642
2021-06-11,14.2773,13.542487299668267,13.580727733728201,13.561607516698235,0.7348127003317337,0.696572266271799,0.7156924833017655
2021-06-18,14.4485,14.056035197734932,14.04981889618694,14.052927046960935,0.3924648022650672,0.3986811038130593,0.39557295303906415
2021-06-25,14.7561,14.138567025686251,14.08757290703101,14.11306996635863,0.6175329743137485,0.6685270929689899,0.6430300336413701
2021-07-02,14.5593,14.432759588155214,14.454945759163929,14.44385267365957,0.12654041184478615,0.10435424083607181,0.11544732634042987
2021-07-09,14.5415,14.252066449588073,14.330130975271326,14.291098712429699,0.28943355041192653,0.2113690247286737,0.2504012875703001
2021-07-16,14.838,14.423117949312534,14.516715852857054,14.469916901084794,0.4148820506874653,0.3212841471429453,0.3680830989152053
2021-07-23,15.353,14.730473351212426,14.738541742264049,14.734507546738238,0.6225266487875736,0.6144582577359508,0.6184924532617622
2021-07-30,14.9042,14.533844027003582,14.602156323435812,14.568000175219698,0.37035597299641765,0.3020436765641872,0.3361998247803015
2021-08-06,14.4109,14.516096518577502,14.46895603401336,14.49252627629543,-0.10519651857750212,-0.05805603401335979,-0.08162627629543096
2021-08-13,14.0946,14.81238137334757,14.81557273799118,14.813977055669376,-0.7177813733475702,-0.7209727379911808,-0.7193770556693764
2021-08-20,14.6129,15.32711385691587,15.418092409840437,15.372603133378153,-0.7142138569158707,-0.805192409840437,-0.759703133378153
2021-08-27,14.6646,14.878438841144312,14.90121958744712,14.889829214295716,-0.2138388411443124,-0.23661958744711953,-0.22522921429571596
2021-09-03,15.0323,14.38547687041492,14.43450221061408,14.409989540514498,0.6468231295850799,0.5977977893859201,0.6223104594855009
2021-09-10,14.9389,14.06955446854893,14.14518503166986,14.107369750109395,0.8693455314510707,0.793714968330141,0.831530249890605
2021-09-17,14.6865,14.587215253246686,14.590794772246909,14.589005012746798,0.09928474675331422,0.09570522775309165,0.09749498725320294
2021-09-24,14.6151,14.638908344407113,14.648585517686458,14.643746931046785,-0.023808344407113324,-0.03348551768645791,-0.02864693104678473
2021-10-01,15.2746,15.006351752243253,15.07801459537114,15.042183173807196,0.2682482477567465,0.1965854046288591,0.23241682619280368
2021-10-08,15.2901,14.913037135902519,14.977253597107847,14.945145366505184,0.377062864097482,0.3128464028921538,0.34495463349481703
2021-10-15,15.3157,14.660828125061858,14.6854361606509,14.673132142856378,0.6548718749381415,0.6302638393490998,0.6425678571436215
2021-10-22,15.6168,14.589524982490893,14.663222810854931,14.626373896672913,1.0272750175091065,0.9535771891450686,0.9904261033270867
2021-10-29,16.319,15.248495124548464,15.260529012349252,15.254512068448857,1.070504875451535,1.0584709876507468,1.0644879315511417
2021-11-05,16.0342,15.26402827244293,15.291327560456235,15.277677916449584,0.7701717275570683,0.7428724395437634,0.756522083550415
2021-11-12,16.0345,15.289658125740157,15.387262119827726,15.338460122783943,0.7448418742598442,0.6472378801722751,0.6960398772160588
2021-11-19,15.8767,15.590703085076859,15.707044581939256,15.648873833508057,0.2859969149231407,0.1696554180607439,0.22782616649194232
2021-11-26,15.6357,16.29286161904003,16.391755499592062,16.342308559316045,-0.6571616190400285,-0.7560554995920619,-0.7066085593160452
2021-12-03,15.8899,16.007981845775827,15.954913560639131,15.981447703207479,-0.11808184577582637,-0.06501356063913022,-0.09154770320747829
2021-12-10,15.7,16.008319399984863,15.944242461297684,15.976280930641273,-0.3083193999848639,-0.24424246129768434,-0.2762809306412741
2021-12-17,15.32,15.850526017303729,15.964182902143955,15.907354459723841,-0.5305260173037283,-0.6441829021439549,-0.5873544597238407
2021-12-24,15.1567,15.609545130513059,15.5807114901184,15.59512831031573,-0.4528451305130581,-0.42401149011839934,-0.4384283103157287
2021-12-31,15.4935,15.863752315918813,15.964655247873589,15.914203781896202,-0.3702523159188136,-0.47115524787358964,-0.4207037818962025
2022-01-07,15.2606,15.673876819553247,15.69689590660185,15.685386363077548,-0.41327681955324636,-0.436295906601849,-0.4247863630775477
2022-01-14,15.1005,15.29394615906942,15.394760525272806,15.344353342171114,-0.19344615906942053,-0.2942605252728061,-0.2438533421711142
2022-01-21,14.9354,15.130748473442925,15.226090223452513,15.178419348447719,-0.19534847344292494,-0.29069022345251305,-0.243019348447719
2022-01-28,15.326,15.467409825766193,15.461340780491,15.464375303128596,-0.14140982576619265,-0.13534078049099918,-0.13837530312859592
2022-02-04,15.2827,15.234610413840873,15.289357144268886,15.26198377905488,0.048089586159127506,-0.006657144268885418,0.020716220945120156
2022-02-11,15.0824,15.07462299943208,15.138502200703313,15.106562600067697,0.007777000567919856,-0.05610220070331273,-0.024162600067697326
2022-02-18,14.9391,14.90966168467633,15.023613766057732,14.96663772536703,0.02943831532367014,-0.0845137660577322,-0.02753772536703103
2022-02-25,14.543,15.30001193949865,15.33669912235789,15.318355530928269,-0.7570119394986499,-0.7936991223578911,-0.7753555309282696
2022-03-04,14.581,15.256768056690056,15.468947529579486,15.362857793134772,-0.6757680566900568,-0.8879475295794865,-0.7818577931347725
2022-03-11,14.7138,15.05660170535143,15.116330434509177,15.086466069930303,-0.3428017053514285,-0.4025304345091758,-0.37266606993030216
2022-03-18,14.6483,14.91343292353514,14.848495197992534,14.880964060763837,-0.2651329235351394,-0.20019519799253338,-0.2326640607638364
2022-03-25,15.4949,14.517692303517943,14.562362270140014,14.540027286828979,0.977207696482056,0.9325377298599857,0.9548727131710208
2022-04-01,15.8889,14.555684698560578,14.545079100219692,14.550381899390135,1.333215301439422,1.343820899780308,1.338518100609864
2022-04-08,16.0525,14.688373872804238,14.746461387169441,14.71741762998684,1.3641261271957603,1.306038612830557,1.3350823700131578
2022-04-15,16.0337,14.622975973688554,14.732752349626422,14.677864161657489,1.4107240263114456,1.300947650373578,1.3558358383425109
