model,rmse,r2_level,r2_movement
AR(1),0.5619093534544547,0.8710924705203407,-0.008247371255252878
5 vars (with gold),0.5695532455051578,0.8675614478132612,-0.035865186728298415
4 core (no gold/trade),0.5611560178592514,0.8714378840043674,-0.005545727381757626
4 core + trade balance,0.5616628351150732,0.8712055531702019,-0.007362897827536852
