origin_date,actual,reg_tb_forecast,reg_tb_error
2021-01-01,15.1903,14.688253950709468,0.5020460492905325
2021-01-08,14.9266,15.32881965821744,-0.4022196582174402
2021-01-15,14.661,15.244445861566188,-0.5834458615661884
2021-01-22,14.5616,15.061099962661322,-0.49949996266132146
2021-01-29,14.8367,15.317543018608822,-0.4808430186088213
2021-02-05,15.3047,14.79576959342912,0.5089304065708813
2021-02-12,14.9757,14.685109551992113,0.2905904480078867
2021-02-19,14.654,14.646119851719197,0.007880148280802857
2021-02-26,15.0113,14.912537755361305,0.09876224463869576
2021-03-05,14.7241,15.275490128888983,-0.5513901288889826
2021-03-12,14.5894,14.983964144468054,-0.3945641444680543
2021-03-19,14.2549,14.711404328741503,-0.45650432874150404
2021-03-26,14.2938,14.99442843328138,-0.7006284332813806
2021-04-02,14.3799,14.824801890141098,-0.4449018901410984
2021-04-09,14.2393,14.57100392970729,-0.3317039297072899
2021-04-16,14.1485,14.268564574000457,-0.12006457400045711
2021-04-23,13.985900000000001,14.324887943174764,-0.33898794317476266
2021-04-30,13.8194,14.42098328121599,-0.6015832812159907
2021-05-07,13.6629,14.21296301049192,-0.55006301049192
2021-05-14,13.5667,14.201778472119896,-0.6350784721198952
2021-05-21,14.0811,14.01031577068881,0.07078422931118844
2021-05-28,14.1637,13.792080597263023,0.371619402736977
2021-06-04,14.4582,13.666711820032335,0.791488179967665
2021-06-11,14.2773,13.545824017852064,0.731475982147936
2021-06-18,14.4485,14.150643487583695,0.2978565124163044
2021-06-25,14.7561,14.108780071986699,0.6473199280133013
2021-07-02,14.5593,14.384479283682635,0.17482071631736495
2021-07-09,14.5415,14.310192562116345,0.23130743788365393
2021-07-16,14.838,14.49056736292549,0.34743263707451
2021-07-23,15.353,14.741853701992033,0.6111462980079665
2021-07-30,14.9042,14.589591893257236,0.31460810674276374
2021-08-06,14.4109,14.529555430537833,-0.11865543053783334
2021-08-13,14.0946,14.821614765693816,-0.7270147656938164
2021-08-20,14.6129,15.38602414683791,-0.77312414683791
2021-08-27,14.6646,14.903633894433938,-0.23903389443393763
2021-09-03,15.0323,14.448773293778052,0.5835267062219476
2021-09-10,14.9389,14.195008153969304,0.7438918460306958
2021-09-17,14.6865,14.600690773315007,0.08580922668499369
2021-09-24,14.6151,14.649588603769013,-0.03448860376901308
2021-10-01,15.2746,15.040730231725897,0.23386976827410244
2021-10-08,15.2901,14.953433601919938,0.3366663980800624
2021-10-15,15.3157,14.678812492357238,0.6368875076427614
2021-10-22,15.6168,14.625920181662957,0.9908798183370422
2021-10-29,16.319,15.265698095419706,1.0533019045802927
2021-11-05,16.0342,15.288278518313511,0.7459214816864872
2021-11-12,16.0345,15.300113534542374,0.7343864654576269
2021-11-19,15.8767,15.662166554436824,0.2145334455631751
2021-11-26,15.6357,16.459471784095957,-0.8237717840959569
2021-12-03,15.8899,16.072591126769975,-0.18269112676997423
2021-12-10,15.7,15.902796327778155,-0.20279632777815593
2021-12-17,15.32,15.93427976279744,-0.6142797627974392
2021-12-24,15.1567,15.617783274311709,-0.4610832743117079
2021-12-31,15.4935,15.890373222822712,-0.39687322282271253
2022-01-07,15.2606,15.768584227267192,-0.5079842272671922
